Preferred_Contact_Method,Product_Category_Preferences
Email,"usually, we, least, central"
Phone,"doctor, everybody"
Email,"generation, run, plant, authority"
Phone,"forget, pick, position, beat, suggest"
Phone,child
Email,"mind, detail, hot, training"
Email,"administration, community, space, you, western"
SMS,"simple, development, who, whole"
SMS,"training, question"
SMS,appear
SMS,"worry, magazine"
SMS,"off, present, stock, adult"
Email,"worker, small, performance, couple"
SMS,"according, white, change, tonight"
Phone,"daughter, party, nor, drive, recent"
Email,"participant, situation, say, quickly"
Email,"together, increase"
Email,month
Phone,often
Phone,"event, especially, everyone, second, herself"
Phone,"fast, may, lawyer, east"
SMS,"but, high"
Email,"arm, possible, message, get, eye"
Phone,"friend, main, thousand, order, fine"
SMS,"beyond, really, watch, maybe"
SMS,"modern, receive, find, enjoy, worry"
Email,east
SMS,"his, together, water, loss, animal"
SMS,"student, close, deal"
Email,Mr
Email,"religious, interesting, lot"
SMS,"pressure, report, clear, get, will"
Email,measure
Phone,"use, decision, hair, green, fish"
SMS,age
Phone,"mother, talk, upon, those, price"
Email,"performance, pretty, two, argue, fund"
Phone,"sing, box, job, everyone, use"
Email,"them, provide"
Phone,"member, statement"
Phone,"ball, law, prepare, ability, see"
Email,"account, image"
Email,"recognize, woman, write, visit"
SMS,"business, security, young, cultural"
Phone,"these, cause, response, response, pull"
SMS,"draw, goal, oil, receive, call"
Phone,"talk, American, within"
Phone,"movement, skin"
Email,"little, nothing, foot"
Email,"line, support"
SMS,"walk, rather, artist, product, able"
Email,"vote, matter"
SMS,"popular, water, none, others"
Email,grow
Phone,"agreement, Congress"
Email,"southern, find, now, own"
Phone,"cultural, always"
Phone,"issue, law, there, never"
SMS,"power, rock, note"
SMS,"throughout, threat, up"
Phone,"magazine, station, school, evening"
SMS,"notice, similar"
SMS,seem
Email,"American, discuss, conference"
Email,"charge, bit, late, out, develop"
SMS,"style, account, name"
Email,"responsibility, vote"
SMS,"clearly, clear, ever, Mr, soldier"
SMS,"strong, body, Republican, them"
Phone,"kitchen, might"
Email,"without, represent, image, media"
Phone,"choose, bag, west, similar"
Email,blue
Email,"small, win, Congress, nice, forget"
Phone,"heart, authority, charge, these"
Email,"it, PM"
SMS,"above, about, all, structure, mind"
SMS,"kitchen, case, lay"
SMS,"house, attention, land, special, must"
Phone,"their, focus, street, something, establish"
Email,"though, without, across"
Email,"explain, which, find, why, physical"
Phone,"explain, moment, career, civil"
Email,"physical, deep, author, care"
SMS,"road, indeed, nation, training, little"
SMS,together
SMS,"necessary, son"
SMS,"require, look, action, manager"
Phone,"research, buy, interesting"
SMS,"grow, discussion, I, nor"
Phone,"true, day, how, consider"
Phone,truth
Email,recognize
Phone,"together, truth, whom, management, wife"
Email,"school, approach, wear, market"
SMS,"TV, finish, ago"
Email,"front, else, maintain, blue"
Phone,"interesting, design"
Phone,"set, effect"
Phone,"fish, line, instead, very"
Email,dream
Phone,"specific, dinner, couple"
Email,south
Phone,"challenge, space"
Phone,"foot, voice"
Email,"ready, friend"
SMS,"ago, international, probably, book, state"
Phone,"child, left, hospital, avoid, remember"
Phone,"movie, painting, perhaps"
Phone,"season, to"
Phone,"experience, short, hope, hospital"
Email,"choice, media, product, serious"
SMS,"address, wrong, major"
Phone,"or, degree, often, administration"
Email,"today, environmental, interview, home"
Phone,"interest, blood"
Phone,"often, we, job, see"
Phone,"car, future, approach, watch"
Email,set
Phone,"million, participant, series, film"
SMS,"church, perform, quite, economy"
Email,"increase, Mrs, which, ago"
SMS,"world, should, low, these, rock"
Phone,fall
Phone,"room, two, expert"
Phone,"money, week"
Phone,"finish, bring"
Email,"tax, yet, without, onto"
SMS,"color, hospital, project, director"
Phone,"line, move"
Email,keep
Email,"tell, despite, unit"
SMS,"not, room, water, program"
SMS,"wrong, task"
Phone,"enter, ten, save, picture"
SMS,"people, sound, either"
SMS,"run, cell, help"
Phone,"prepare, yes, serve"
SMS,right
Email,move
SMS,"learn, tonight, add, local, voice"
Email,"organization, go, lot, responsibility, similar"
Phone,"opportunity, peace, loss, available, investment"
Email,"impact, official, summer, maintain, fight"
Email,"my, to, science, letter"
Email,"return, its, east, authority, seek"
Email,now
Phone,east
Phone,"case, provide, edge, return, success"
Phone,"visit, clearly, bag"
Phone,"mean, important, heart, animal"
Phone,fire
SMS,"money, group, these"
Phone,"half, Mrs"
Email,research
SMS,"clearly, despite, finally, remain"
SMS,"daughter, only"
Phone,"western, room, the, difference, can"
Email,while
Phone,"over, out"
Phone,"because, money, marriage"
Email,"customer, the"
Email,"cultural, cultural"
Email,specific
Email,"political, account, Mr"
Phone,"thought, beat, appear"
Email,yard
Phone,"health, seat, ready, manage"
Phone,"finish, national, area, worker, message"
Phone,"stuff, sing, medical, either"
SMS,official
SMS,"section, hit, also, film"
SMS,"live, seven, black, here"
SMS,"expert, figure, nature, throw"
Email,"explain, hard, give, power, the"
Email,"leave, catch, mean, eye, campaign"
Email,"prevent, born, certainly, anyone"
Phone,"available, people, city"
Email,"mention, sell, value, me, toward"
Email,"well, see"
Email,"eight, know, dream, single, show"
SMS,"eat, image, throw, statement"
Email,"table, enter, state"
Email,"imagine, recent"
Email,"system, focus"
Phone,"eight, call, piece, face, trouble"
SMS,"system, unit, eight, price, she"
Email,"after, thank"
Phone,"real, wrong, million, white"
SMS,life
SMS,"store, claim, cultural, what"
Phone,"how, some, increase, green, investment"
SMS,"live, personal, audience, TV, book"
SMS,"president, truth"
Phone,"street, ball, family, consider"
Email,rule
Email,positive
SMS,"particularly, religious"
Phone,"itself, few, night, participant"
SMS,lay
SMS,"free, argue"
SMS,"effect, which"
SMS,"case, mother"
Email,"health, and, part"
SMS,artist
Phone,"school, strategy, daughter, could"
Email,"choose, some"
Phone,"its, bill, population, work, policy"
Phone,however
Phone,"as, practice"
Email,or
Phone,"thank, small"
Phone,"when, popular"
Email,"project, simply, provide, public"
Email,"everybody, decision"
Phone,community
Email,"film, right"
SMS,"certain, level"
Phone,team
Email,"practice, suffer, stay, task, yes"
SMS,"rather, have, reflect, toward, hand"
Phone,"herself, ago, hard, population, media"
Phone,boy
Phone,store
Email,"trade, environment, than, table"
Email,"huge, artist, degree, agency"
Phone,"wait, song, here"
Phone,"between, top, ball, piece"
SMS,"partner, she, fact, bar, where"
Email,"down, civil, compare, difference, up"
SMS,"first, note, know, attention, like"
Email,"change, low"
Email,"support, raise, figure"
Phone,reach
Phone,happen
Phone,"mean, network, coach"
Email,"whether, per, seem"
Phone,"interview, land, animal, order, success"
Email,"set, step, point"
SMS,"race, purpose, most, doctor"
Phone,collection
Email,"fill, sure, home, east"
Phone,"economy, direction, democratic"
SMS,"chair, series, reveal, attack, buy"
Phone,himself
SMS,"as, officer"
SMS,its
SMS,young
SMS,rock
Email,"state, work, stock, note"
SMS,brother
Phone,"good, rule"
Phone,"issue, open, price"
Phone,theory
Phone,"goal, country"
SMS,"age, hair, major, national"
Phone,deep
Phone,"also, anyone, those"
SMS,"fund, officer, ok, beyond"
SMS,"usually, how, center"
Email,"main, marriage, world, agreement"
SMS,"check, organization, fine, long"
SMS,"woman, yourself, apply, side, growth"
SMS,"school, national, race"
Email,"college, exist"
SMS,"cultural, great, stay, former"
Phone,"right, office"
Email,"front, story, community, feel, write"
SMS,"product, itself, response"
Phone,move
Email,"project, spring, toward, safe"
Email,"beyond, small, prepare, receive, concern"
Email,building
SMS,"protect, reason, not, old, wish"
SMS,ahead
Email,"increase, general, firm, institution, indeed"
Phone,"hit, however, behavior, force, light"
SMS,"we, plant, beat, under"
Email,"health, through, thought"
Email,"star, trade, such, phone, second"
SMS,"picture, young, attention"
Phone,"until, few"
SMS,"worry, again, ago, fact"
Phone,right
SMS,"back, seem, certain, popular, majority"
SMS,"less, season"
Email,"happy, there, focus, medical"
Phone,"owner, off, about, herself"
Phone,"never, nearly, life, make, care"
Phone,"above, hotel"
Email,"enter, short, democratic, clearly, drop"
Email,"risk, place, risk"
SMS,"beyond, then, seven, trip"
SMS,"be, subject, school"
Email,high
Email,take
Phone,age
Email,"media, believe, nothing, force, between"
Phone,"discussion, fight"
Email,"base, image"
Phone,show
Phone,"do, behavior, politics, mother"
Email,trip
Email,oil
SMS,"rather, door, mouth"
Email,"against, world"
SMS,"require, significant, customer, move, especially"
SMS,"against, newspaper, check, type"
Email,"area, street, station"
Phone,"whether, conference"
Phone,"detail, treat, matter"
Phone,"left, ball, go"
SMS,hand
SMS,reality
Phone,"mean, imagine, free"
SMS,"month, four, other, look"
Phone,"history, page, tonight"
Phone,"cold, court, role, white"
SMS,floor
SMS,nice
Phone,"start, already"
Phone,"occur, see, time, group, prove"
Email,"realize, natural"
Phone,"mission, Mr, someone, through, friend"
Email,"indicate, once, pick, safe"
SMS,"give, computer"
Phone,"customer, interesting, half"
Phone,"color, subject, candidate, fund, hundred"
Phone,home
SMS,"join, herself, use, old, actually"
Email,"hard, unit, situation, space"
SMS,"check, indicate"
Email,"open, use, point, again"
SMS,"leg, often, certainly, ahead"
Email,page
Phone,poor
Email,"first, anyone"
Phone,"understand, senior"
SMS,"floor, factor, read"
Phone,"news, lay, laugh, memory"
SMS,"start, hour, decade, trade"
Phone,"fast, kid, yourself"
SMS,"degree, major, organization, when"
Email,"person, rate, especially"
Phone,"name, teach, get"
Email,friend
Phone,"bill, prepare, drive"
Email,"according, trial, you, son"
Phone,"agree, mean, grow, center, room"
Phone,"must, away, training, question"
SMS,test
SMS,"magazine, sport, this"
SMS,"identify, point, class, military"
SMS,"can, term, stuff"
SMS,"analysis, alone, sea, step, fast"
SMS,"why, everyone, alone"
SMS,"law, surface, treat, entire, can"
SMS,"now, we, war"
Phone,"just, probably, card"
Email,"executive, pressure, even, plan"
Phone,"it, loss, million, scientist, red"
SMS,"walk, hold"
Phone,"only, west, town"
Email,"other, American, sit"
Email,"system, town, class, send"
SMS,"pretty, thing"
Email,"fine, opportunity"
SMS,"low, family"
SMS,however
Email,"cell, set, thing, let, board"
Email,"like, different"
Email,"guess, contain, together"
Email,"us, product, if, main"
Phone,"market, which, same"
Email,"letter, call, behind"
Phone,especially
Phone,anything
Email,"worry, woman, keep, necessary, movement"
Email,"center, he, discover, instead"
Email,"now, career"
Phone,possible
Email,"deal, your, manage"
Phone,evening
SMS,"item, kind, effect, defense"
Email,produce
SMS,win
SMS,measure
Phone,employee
Phone,boy
Phone,"role, at, million"
Email,"peace, billion"
Email,"rate, probably"
Email,"actually, training"
Email,"first, operation"
SMS,"understand, scientist, building, thought"
Email,"large, this, firm, good, become"
Email,"out, give, recently"
Email,"raise, set, old, trip"
SMS,"different, industry, effort, true, town"
Phone,community
Phone,"very, quite"
Email,"capital, role"
SMS,"tough, better"
Phone,"forward, report"
Email,"information, mission"
SMS,"produce, make, director, four"
SMS,week
SMS,year
Email,"in, back, human"
SMS,"draw, well, after, least"
Email,"painting, whether, fish, general, candidate"
Email,"why, phone, building"
SMS,suddenly
SMS,"deep, minute, turn, say"
Email,all
Phone,"term, never, term"
Phone,course
Email,war
Email,"down, evidence"
SMS,floor
Phone,"section, region"
SMS,"national, car, back"
Email,"ability, body"
Email,"often, win"
Email,"pay, fly, hold, happy, billion"
SMS,"audience, as, attack, billion, nor"
SMS,"ball, set, Republican, actually, police"
SMS,"price, they, example, suddenly"
Phone,fight
Email,"professional, other, class, local, nothing"
Phone,"involve, together, experience"
Email,"painting, reality, rock, language, even"
Email,"Democrat, finally, nice"
Phone,message
Phone,"him, task, hear, whatever"
Email,something
Email,"suffer, condition, scientist"
Email,lead
Email,"human, tonight, husband, quickly"
SMS,"technology, center, rock, four"
Email,"this, technology, discussion, summer, heavy"
SMS,"start, old, church, read, campaign"
Phone,pick
Phone,development
Phone,"church, director"
SMS,"Mrs, matter, say, evening"
SMS,"guess, certainly, experience, news"
Email,"be, will"
SMS,"television, choice, card, most"
Phone,"begin, each"
Email,"why, front"
Email,"hit, from, night, total"
Phone,"positive, age"
SMS,"summer, improve, might, even, their"
Email,"style, order, writer"
Email,"who, form, sometimes, main"
Email,foreign
Email,"address, toward, brother, worry"
Phone,bag
Email,it
SMS,"until, under"
Email,"in, kid, decision, property, story"
Email,"after, easy, half"
Phone,"fly, citizen, task, field, visit"
SMS,"low, sport, because, daughter, once"
Phone,"population, question"
SMS,"movement, response, bank"
SMS,"these, majority, quickly"
SMS,"there, skill, sing, role, believe"
Email,"stand, edge, bag"
Phone,including
Phone,important
Email,"teach, down"
SMS,"itself, music"
SMS,"movement, attack, night"
Phone,"improve, maybe, forget, analysis, able"
SMS,expert
SMS,learn
SMS,"fund, develop, after, three, natural"
Phone,face
Email,"executive, sort, reality, these"
SMS,"personal, present"
Phone,sit
SMS,"traditional, control"
Email,ok
Email,"gun, to, house, number"
Phone,"free, minute"
Email,"station, fill, want"
SMS,ok
Phone,something
Email,"movement, indicate, probably, pay, anyone"
SMS,"create, director, and"
SMS,"such, several"
Phone,"him, as, accept"
Email,"anything, fly, practice"
Phone,morning
Phone,he
Email,"another, PM, agreement, door"
Phone,"take, political, create"
SMS,"describe, road, film, sea"
Email,"star, military, individual, produce, memory"
Phone,"sometimes, look"
Phone,"move, score, figure, oil, your"
Phone,"weight, appear, field, dark"
Phone,"protect, attack, control"
SMS,"opportunity, true"
Email,"so, possible, thing, exist, team"
SMS,"measure, traditional, ground, figure, eye"
SMS,fear
Email,"stock, add"
SMS,"environmental, check"
Email,"it, at, pay"
Email,"fish, amount, group, fly"
Email,"happen, population, yes, rest, dog"
Email,"what, any, likely"
Email,"direction, law"
Email,"well, certain, according, rule, couple"
Phone,"reflect, nothing, white, various"
Email,"remain, perform"
SMS,series
SMS,billion
SMS,"effort, simple, ahead, glass, long"
Phone,"television, low, small, although, manager"
Phone,whose
Phone,"choose, force, born, us"
Phone,"draw, large, defense, sound"
Email,"television, near, also, child"
SMS,"concern, lawyer"
Phone,"material, six, whether, behavior, trade"
SMS,"improve, specific"
Phone,"others, and, accept, career"
Email,"police, fact, enough"
Phone,"idea, cultural, gas, somebody, ready"
SMS,"unit, lead, bank, people, everybody"
SMS,"fear, nature"
SMS,"step, feeling, sing, gun, doctor"
Email,"themselves, left, report, attention"
Phone,"movie, always, across, forward"
Email,"crime, seat, tree, floor, of"
Email,responsibility
SMS,world
Email,"mother, energy"
Email,"exactly, sense"
Email,"phone, time, away, listen, line"
SMS,budget
Email,finally
Email,"food, card, ability"
Phone,"collection, top, money, real, fine"
Phone,"ability, prove"
SMS,"this, wait"
Email,"particularly, occur"
Email,"large, against, some"
Email,"success, partner, single"
Email,"why, condition, more, heavy, whatever"
Phone,"course, feel, media, one, man"
Email,sure
SMS,want
Email,"couple, far, hundred"
Phone,"where, crime, entire, point"
Phone,mouth
Email,"party, down"
SMS,"mention, quality, standard, her"
Email,"oil, program, reason, small"
Phone,"purpose, visit, choice, almost, town"
SMS,"ability, memory, soldier"
Email,"week, cut"
Email,add
Phone,cost
SMS,"benefit, top, represent"
Phone,"suffer, size"
Email,"note, end"
Email,"include, stuff, trial"
Email,"unit, throughout, could, over, describe"
Phone,base
Phone,"agent, agree, step"
SMS,certainly
Phone,"mother, maintain"
SMS,"write, sure, recognize"
Phone,"whatever, stage, left, ability"
Email,"deal, treatment"
Phone,small
Phone,"late, part, enter, message, current"
SMS,quality
Phone,"someone, suddenly, occur, plant"
Email,"spring, impact, scientist, describe"
SMS,"from, news, word, base"
SMS,"high, figure, mouth, great, usually"
Phone,"take, arm"
SMS,with
SMS,"per, size, act, product"
Phone,"cost, national, professional, direction"
Phone,"political, center, hotel, administration, say"
SMS,"big, reason"
Email,"smile, activity"
Phone,"national, sort, only"
Email,"college, newspaper, central, interesting, degree"
Email,real
Email,former
SMS,"life, thank, consumer"
Email,"wall, us, I"
SMS,"entire, prevent, hit"
Phone,"event, pressure"
SMS,"couple, stay, relate, should, energy"
Email,"store, analysis, teacher, his"
SMS,"Democrat, court, else"
Phone,"trip, herself"
Email,"late, piece"
SMS,"smile, brother, according"
Phone,"movement, building, third, be"
Email,"charge, fill, help, people"
Phone,"service, director"
Phone,fear
Phone,"not, property, society"
Phone,provide
Email,"long, clear, measure, camera"
Email,"party, write"
Email,director
SMS,"affect, political, position, which"
SMS,"example, really, focus, care, treatment"
Email,nation
SMS,"office, heart, us, fear, rock"
SMS,discussion
Email,"oil, debate, price"
SMS,"president, affect"
SMS,"film, agency"
Phone,"contain, include, fact"
SMS,"expect, approach, five, send, military"
Phone,"image, education, thought, only"
Phone,"sport, letter, ok, claim, account"
Phone,"appear, thank"
Phone,"not, set, machine, treatment, north"
Phone,"one, somebody, arm, institution"
Email,"receive, whom, degree"
Phone,"president, travel, both, wall, church"
Email,"tonight, firm"
SMS,nothing
Phone,"trial, like"
SMS,"central, by, plan, market"
SMS,"budget, important, particular, data, world"
Phone,"smile, like, your"
Email,"network, dinner, decade"
SMS,respond
Phone,"ball, suffer, parent, reveal, law"
SMS,"care, reason, number, five"
Email,"art, Congress"
SMS,"day, wrong"
SMS,fall
Phone,"conference, official"
Email,determine
SMS,"son, art, hear, require, blue"
Phone,also
Phone,"family, discussion, that, station"
SMS,"draw, office, series, social"
Phone,"around, become, big"
SMS,"local, society, moment, reach"
SMS,"never, science, my, radio"
Email,"base, cell"
SMS,"policy, difference, human"
Phone,"also, nice, various"
SMS,month
Email,shake
Phone,president
Phone,remain
SMS,"necessary, training, goal, trip"
Email,performance
Email,"song, station, significant, determine"
Email,"environmental, story"
Email,positive
SMS,"letter, official, memory, little"
Phone,"sense, part, big, responsibility"
Phone,"choose, choice, city, dark, culture"
SMS,"position, simply, maintain, site, term"
SMS,"sense, inside, technology, board, answer"
Phone,"shake, least"
Phone,"series, around, action, back"
Phone,"agency, from"
SMS,front
SMS,mention
Phone,left
Email,school
SMS,"high, since"
Phone,"better, art, agency, relate"
Phone,"close, cover"
Email,best
SMS,"main, stock, another"
SMS,"decade, street, anything"
Email,"best, goal, resource, career"
Phone,add
SMS,"upon, line"
Phone,"impact, sister, threat, site"
Phone,suddenly
Email,"plant, Mr, director"
Email,"it, I, crime"
Phone,"sound, somebody"
Phone,"help, speak"
Phone,"across, also"
SMS,"form, major, true, treatment, cup"
Phone,"at, itself, key"
Email,"conference, culture, though, support"
Phone,"four, present, increase"
SMS,"walk, doctor, wish"
Phone,"participant, sell, herself, they, down"
Phone,decision
Email,"save, explain, central, street, senior"
Phone,"sign, way, can, scene, she"
Email,"drop, weight"
Email,"region, section, understand"
Phone,develop
Phone,"base, safe"
Email,"price, short, model, image"
Phone,"student, finally, moment"
Phone,so
Email,"note, approach, receive"
Phone,"work, prove"
Phone,"rock, to, head"
Email,"first, door"
SMS,"several, and"
SMS,"great, author, happy, necessary"
Phone,number
SMS,"none, open, lead, provide, wish"
Email,"true, give"
Phone,"music, fly, number, whole, your"
Phone,ok
Phone,"church, stuff, all"
Email,"produce, method, word, chair, fill"
Phone,"follow, report, board, seek, enter"
Phone,"watch, month, part, start, field"
Email,"politics, begin, population, upon"
Phone,"time, already, report, two"
Email,experience
Phone,"garden, increase, kind, work"
SMS,"maintain, carry"
Phone,"church, sort, law, walk"
Phone,would
SMS,"join, manager, mean, figure"
Phone,listen
Email,"article, house"
Phone,chair
Phone,"face, child, suffer, study, record"
Phone,"company, writer"
Email,"property, memory, front"
Phone,start
Email,develop
Phone,"where, alone"
SMS,message
SMS,region
Phone,party
SMS,value
SMS,"support, prove, improve"
Phone,"strategy, truth, magazine, paper, long"
Email,"land, fight, teach, husband"
SMS,"reduce, race, forget"
Phone,"build, sit"
Phone,"kid, account"
Phone,range
Email,"trip, environmental, note, west"
SMS,usually
Email,"might, item"
SMS,"nice, professional, name, find"
SMS,"nearly, about, certainly"
Phone,"tough, cover"
SMS,behind
SMS,"try, detail, school"
Email,"ability, build"
Phone,"have, measure"
Phone,"kid, modern"
SMS,"level, office, natural, dark, stop"
Email,"each, plan"
Email,"my, tend, a, prove, defense"
Email,"either, explain, job, magazine"
SMS,"sell, unit"
Email,"up, various, provide, energy"
Email,population
Email,"well, fear, account, response, area"
Email,"million, need, security, heavy, effort"
SMS,"exactly, site, office"
Phone,"feeling, event, six, network, focus"
Email,"phone, bring, some"
Phone,"dream, role, state, society"
Phone,"anyone, character, very"
Email,"agency, catch"
SMS,"tend, week"
Email,"doctor, war, use, could, safe"
Email,"western, fly, event, city, against"
SMS,"garden, ready"
Phone,"relationship, actually, half, type, class"
Email,"be, relate, after"
Email,"number, player, well, plan"
SMS,"foreign, probably"
SMS,"gas, throw, remember"
SMS,"three, indicate, happen, sell"
SMS,"the, society, local, site"
Email,"director, not, contain, table, decide"
Email,letter
Phone,"carry, ability, budget, just, husband"
Email,edge
Phone,"onto, sister, decide, reason, capital"
SMS,company
SMS,"opportunity, its"
Phone,data
Phone,"threat, paper, question"
Email,"game, something, partner, analysis"
Email,door
Phone,"condition, down, already"
SMS,"social, process"
SMS,"beautiful, create, social"
Phone,"lead, current, wear"
SMS,"bar, compare, good"
SMS,discover
Phone,paper
SMS,"kid, our, of"
Email,"child, term"
Email,"visit, language, shoulder, foot, southern"
Email,decide
Phone,"market, guess"
SMS,American
SMS,stuff
Email,health
Email,"organization, significant, common"
SMS,"wall, red, heart, front, culture"
SMS,"perform, point, away"
Phone,"eye, enjoy, impact"
SMS,"similar, story, black"
SMS,body
SMS,"response, same"
SMS,"power, whom, out, drug, to"
SMS,"better, simply"
SMS,large
SMS,"talk, read, which, series"
SMS,"somebody, process, eye, look"
SMS,song
Phone,head
SMS,every
Email,"high, recognize, name, want"
Email,doctor
Email,"lose, wind, quite, red"
SMS,"statement, couple, allow, miss"
SMS,"vote, compare, could, address"
SMS,"ready, star, nearly, nor, as"
Email,pressure
Phone,seek
SMS,up
SMS,"somebody, behavior"
Email,"western, thus, phone, dog, brother"
SMS,"meeting, drug, few, suddenly, above"
Phone,"table, option, agreement, their, federal"
SMS,"power, analysis, four, also"
Email,"best, society"
Email,"ability, rich, try, later, test"
Phone,"news, mention, idea, power, market"
Phone,certain
Email,"attention, plant"
Phone,"owner, almost"
Phone,"Republican, politics, these, practice, determine"
SMS,"my, assume, heavy"
Phone,cultural
SMS,"consider, finish"
Email,"store, sort, for"
Phone,"daughter, on"
SMS,"level, indicate, use, traditional, play"
Phone,"picture, focus, unit, note, still"
Phone,"bad, manager, sign, religious"
SMS,"tonight, individual, carry, hope, guess"
Phone,"idea, attention, life"
SMS,"Mrs, get"
Email,"democratic, mind"
SMS,"pick, high, free"
SMS,take
Phone,"safe, Mrs, stand, myself, section"
Email,yet
Email,"Mr, not"
Phone,"red, movie, everyone"
SMS,"glass, this"
Email,"social, so, east"
Email,"each, something, consider, never"
Phone,"performance, board, reveal"
Email,"town, say"
Email,"language, moment, take"
Phone,"direction, administration, leave"
SMS,"customer, season, should, for"
Phone,"color, into"
SMS,"begin, bring, smile"
Email,"theory, world, while, different"
Phone,"spring, message, control, sense, treat"
SMS,"political, the"
Email,ok
SMS,"figure, American, glass"
Phone,deep
Email,house
Email,"hot, task, clear"
Phone,"relationship, between, scientist"
Phone,"blue, they, contain"
Email,"mother, home, want, maybe"
SMS,"daughter, campaign, usually, million, prevent"
SMS,"along, if, minute, what, close"
SMS,"establish, take, glass, where"
SMS,me
Phone,"admit, return, skin, ground, draw"
SMS,"cup, kind, executive, affect, should"
SMS,"maybe, pay, enter"
Phone,"direction, participant, year"
SMS,"shake, born"
SMS,"small, partner, old"
SMS,"soldier, lead, remain"
Phone,"hope, student, he, blood"
Email,"consumer, institution"
SMS,"friend, foreign, material, assume, firm"
Phone,"idea, group, hundred, wish"
Email,business
Phone,"here, employee, training"
Email,feel
Email,"conference, fast"
Phone,worry
Phone,mind
Phone,"discuss, talk"
Email,"buy, put, defense, summer"
SMS,"green, management, goal, student"
SMS,"car, rock, quickly, leave"
SMS,"start, than"
Email,"rock, bar"
Phone,"deal, growth"
Email,"there, benefit, policy"
Phone,"hit, property, science, difference"
Phone,"student, war, open, responsibility"
Email,"own, career"
SMS,"far, family, himself"
Phone,"commercial, young"
SMS,"economic, from, sound"
SMS,"through, whatever, center, network"
Phone,"body, above, soon"
SMS,"tell, special, authority"
Email,"employee, environment, skin, catch, line"
SMS,"night, prove, challenge"
Email,"Mr, off"
Phone,edge
Email,consumer
Phone,"maybe, mother, risk, available"
SMS,"letter, question, song"
Email,"writer, executive, shake"
Email,"production, five, determine, serious, book"
Phone,"tonight, fill"
Phone,cell
Email,"late, allow, watch, that, site"
Email,"issue, glass"
SMS,"side, dog, affect, our, dinner"
Email,"himself, theory, long, piece, thousand"
Phone,"condition, stop, investment"
Email,"close, effect, later"
Phone,"word, table, important, condition"
Phone,"organization, hot, building, to, road"
SMS,"range, suffer, girl"
Phone,this
Phone,"decision, film"
SMS,"phone, theory"
SMS,avoid
Email,"name, focus, drug"
Phone,go
Email,"without, out, risk"
Phone,"really, amount, mean, political"
Phone,"fact, forward, human, perhaps"
Email,"certainly, thank, remember"
Email,"have, bad, many, today"
Email,"true, value"
Phone,"hospital, economy"
SMS,stand
SMS,maintain
Phone,"condition, lot, foreign, bag, minute"
Phone,"wish, these, shake, positive"
Email,"occur, house"
Phone,"attorney, face, ahead"
Email,"day, light, western"
Phone,"hair, your, cultural"
Phone,"religious, yes, small, since, agency"
SMS,"I, eat"
SMS,"mind, like, dinner"
Phone,"everyone, hear"
Phone,"maintain, them, reflect"
Email,technology
Phone,house
SMS,play
Phone,"class, there, poor, address, day"
Email,reveal
Email,area
Phone,"beyond, high, particular, fact"
SMS,area
SMS,"feel, option, yourself, understand"
SMS,"total, car"
Email,"magazine, form, particular, commercial, scientist"
Phone,"field, foot"
Phone,"voice, read, forward, conference, hear"
Email,"best, call, why, success, join"
Phone,"support, eat, never, Mr, eye"
Phone,"attack, similar, page"
SMS,"against, law"
Email,"gun, food, stay"
Email,"attention, seat, still, far, reason"
Email,couple
Phone,explain
SMS,determine
SMS,"image, grow, wife, wide"
Phone,"painting, stand, build"
SMS,"better, item, low, collection"
SMS,"dream, can, election, back"
Phone,"financial, necessary"
Email,"step, herself, technology"
Phone,fish
SMS,down
Email,democratic
SMS,"out, respond"
SMS,wish
Phone,"cause, go"
SMS,"seek, born, system, agree, quite"
Phone,but
Email,"how, yet, often, wear"
SMS,"seat, phone, success"
Email,"pay, than, politics, bar, news"
Phone,site
Phone,"company, fear, crime, free"
SMS,"lose, heavy, prove, film, fish"
SMS,"necessary, miss, attorney"
Phone,"five, general, security"
Phone,"network, anyone"
SMS,best
Email,"environmental, single"
Phone,"oil, then, year, body, imagine"
Email,sister
Email,"force, discussion, able, consider"
SMS,attention
SMS,color
Email,"light, until, night"
Phone,"on, drug, measure"
Phone,thousand
SMS,"interesting, degree"
SMS,"news, weight, once, ground, measure"
Phone,method
SMS,"mother, activity, lay"
Phone,"during, indeed, box"
Phone,"early, avoid, standard, budget, discover"
Email,"hit, art, key, home"
SMS,"buy, ready, relationship"
SMS,"Mr, edge, board, change, father"
SMS,"opportunity, organization"
Email,"newspaper, scientist, my, them, business"
SMS,"bank, PM, view"
Phone,"because, event"
SMS,"let, particularly, specific"
Email,"individual, hot"
SMS,"after, hotel, know, shake, film"
Email,"if, large, sometimes, camera, pattern"
SMS,"four, forget, provide"
Phone,interesting
SMS,"wife, watch, car, find"
Phone,"tend, fund, Mrs, system, skill"
Phone,"itself, say"
SMS,base
SMS,"camera, into"
Email,"present, term, bag"
Phone,"commercial, seven, instead, section, suffer"
SMS,"peace, product, moment, western, play"
SMS,"imagine, response"
Email,"range, else, politics, chance"
SMS,"phone, color"
Phone,"discover, in, medical, on, hope"
Email,"both, benefit, also"
SMS,"lead, wall"
Phone,"organization, candidate, nothing, which"
Email,"defense, blood"
SMS,"develop, role, four"
Phone,choice
Phone,"eye, trial, executive"
SMS,"the, decade, suffer, already, tree"
Email,"full, main"
Email,"himself, could, college, as"
